Geo_Point;Geo_Shape;nom;street;No
43.6086981702, 1.43693343205;{"type": "Point", "coordinates": [1.436933432051792, 43.608698170188404]};PLACE SAINT JULIEN;PL SAINT JULIEN;0
43.6057674225, 1.44648864765;{"type": "Point", "coordinates": [1.44648864765214, 43.605767422525034]};PLACE VICTOR HUGO;RUE DU REMPART VILLENEUVE;6
43.6051357744, 1.44228102934;{"type": "Point", "coordinates": [1.442281029336915, 43.60513577442977]};LOIS;RUE DES LOIS;5
43.6090485214, 1.44269350834;{"type": "Point", "coordinates": [1.442693508344862, 43.60904852142678]};SAINT SERNIN  -  MERLY;RUE MERLY;1
43.6095960569, 1.44608782302;{"type": "Point", "coordinates": [1.446087823020402, 43.60959605693241]};SAINT LAZARE;PETITE-RUE SAINT LAZARE;2
43.6152867705, 1.4428779309;{"type": "Point", "coordinates": [1.442877930903226, 43.61528677053115]};MINIMES -  PASSERELLE;BD DES MINIMES;38B
43.594361052, 1.44096279942;{"type": "Point", "coordinates": [1.440962799420182, 43.5943610520265]};GARONNETTE;AV MAURICE HAURIOU;1
43.5947749915, 1.44399954164;{"type": "Point", "coordinates": [1.44399954163806, 43.59477499152488]};PLACE DU SALIN;PL DU SALIN;18
43.6046027773, 1.44042508492;{"type": "Point", "coordinates": [1.440425084918278, 43.604602777300705]};PARGAMINIERES;RUE PARGAMINIERES;66
43.600373178, 1.44490268995;{"type": "Point", "coordinates": [1.444902689951856, 43.60037317800617]};PLACE ESQUIROL;PL ETIENNE ESQUIROL;15
43.6078583887, 1.44666624291;{"type": "Point", "coordinates": [1.446666242913033, 43.60785838866716]};STRASBOURG  -  BAYARD;BD DE STRASBOURG;32
43.594306254, 1.44882209496;{"type": "Point", "coordinates": [1.448822094957896, 43.59430625400039]};MUSEUM;ALL JULES GUESDE;35
43.6027020651, 1.45444839893;{"type": "Point", "coordinates": [1.454448398925486, 43.60270206509418]};ST AUBIN  - CAMICHEL;RUE CHARLES CAMICHEL;1
43.6106821228, 1.4436208413;{"type": "Point", "coordinates": [1.443620841297196, 43.61068212276859]};CONCORDE -  ARCOLE;RUE DE LA CONCORDE;4
43.6145965267, 1.44353763512;{"type": "Point", "coordinates": [1.4435376351212, 43.61459652667697]};PRINTEMPS - INGRES;RUE DU PRINTEMPS;57
